,Delta Norm,Theta Norm,Alpha Norm,Beta Norm,Gamma Norm,Delta StDev Norm,Theta StDev Norm,Alpha StDev Norm,Beta StDev Norm,Gamma StDev Norm
P0,0.326090202929,0.637820680731,0.0330158552913,0.00305543019327,1.78308557076e-05,0.168648131622,0.241712043998,0.0204372328983,0.00155814942654,3.55559702007e-05
P1,0.557782818759,0.398035660636,0.0308878273614,0.0128554440653,0.000438249178976,0.288697051686,0.173944899189,0.0132299246746,0.00606342710111,0.000785689559474
P2,0.726126633044,0.24498599474,0.0260388127214,0.00283682319714,1.17362972844e-05,0.283168850017,0.160931958497,0.0113023455268,0.00196638490181,2.49271875146e-05
P3,0.254192476357,0.641421259352,0.0846953980836,0.019007786361,0.000683079846841,0.0732764650513,0.231018012568,0.0380195376602,0.0163837942701,0.00188891379198
P4,0.293938316376,0.669013129884,0.0362369488615,0.000796975443447,1.46294355595e-05,0.167871326605,0.241125015607,0.0177073975273,0.000889398668401,2.77320121892e-05
P5,0.89606083021,0.0887047515093,0.0145653685732,0.000661003607501,8.04610020922e-06,0.351292246373,0.0243840476206,0.00610413607754,0.000657100638583,1.82020027786e-05
P6,0.372966038617,0.609767277515,0.0151490097441,0.00208536133531,3.23127882334e-05,0.196553126612,0.237816704303,0.00703377534665,0.00148409045961,6.95220847389e-05
P7,0.332241155473,0.625519815707,0.0408394860656,0.00138890651283,1.06362415806e-05,0.134473013433,0.245578642096,0.0151438900719,0.00130932124249,1.96402018256e-05
P8,0.652595500039,0.336467941373,0.00981496136408,0.00105201701864,6.95802060157e-05,0.207404235485,0.122907269378,0.00347744122259,0.000683974067131,0.00018478945404
P9,0.690520308517,0.293581399727,0.0130165648496,0.00284325336374,3.8473542864e-05,0.25842241294,0.119446457928,0.00613495993884,0.0013283625353,0.000100546669077
S0,0.631978923363,0.350064268501,0.0143914530054,0.00323606719278,0.000329287937303,0.21400609669,0.122494525696,0.00869331566631,0.00251913318976,0.000695277866656
S1,0.473871156511,0.494479659669,0.0229127297126,0.00860923718286,0.000127216924964,0.192666476923,0.18033727605,0.0117144002333,0.00573684740827,0.000270177691916
S2,0.331571441697,0.530380054899,0.133990561552,0.00398425113927,7.36907134604e-05,0.213318372157,0.152653299463,0.0694134059285,0.00343317479223,0.000147202637478
S3,0.84130126176,0.137135441815,0.0159701788122,0.00507627960802,0.000516838004463,0.323132528193,0.0587618003209,0.00870394346896,0.00351772781455,0.000903012321169
S4,0.423956817078,0.552340973346,0.0211254027882,0.00255124560745,2.55611800223e-05,0.247821836148,0.209262746418,0.0103689320573,0.00178688192477,4.67303700942e-05
S5,0.0537259853915,0.850741763526,0.0831375928718,0.0111864135442,0.00120824466608,0.0242243651413,0.335596550352,0.031155098778,0.00715405918816,0.00320645636841
S6,0.54613416791,0.402187918332,0.0470635452517,0.00444393172012,0.000170436786734,0.188832481102,0.176450032648,0.00977190769546,0.00401730631044,0.000300590897976
S7,0.598465279845,0.353972117791,0.0449743068535,0.00249727524994,9.10202602333e-05,0.168793784327,0.169932824364,0.020374428734,0.00164732954435,0.000195754047777
S8,0.721726411297,0.225278305944,0.0462143218879,0.00638027896208,0.000400681908894,0.345414861008,0.0793872958858,0.0133915590288,0.00412720543778,0.000690797958415
S9,0.331750432077,0.624683009537,0.0426360980328,0.000884742537882,4.57178152626e-05,0.142567702465,0.218849782388,0.0164477290088,0.000645478993853,9.20287672912e-05
