,Delta Raw,Theta Raw,Alpha Raw,Beta Raw,Gamma Raw,Delta StDev Raw,Theta StDev Raw,Alpha StDev Raw,Beta StDev Raw,Gamma StDev Raw
P0,4.73659332822e-14,9.26460578642e-14,4.7956877727e-15,4.43813709774e-16,2.59000458838e-18,4.31579389386e-14,6.18553762515e-14,5.22999478864e-15,3.9873858762e-16,9.09895873773e-18
P1,3.19464306403e-15,2.2797078356e-15,1.76906817715e-16,7.36282184339e-17,2.51002657817e-18,3.19649996089e-15,1.92594576289e-15,1.46483843385e-16,6.71352352869e-17,8.69928054846e-18
P2,3.24792267395e-13,1.09580826664e-13,1.1647011195e-14,1.26889470303e-15,5.24957828614e-18,2.3342887301e-13,1.32663482233e-13,9.31703391293e-15,1.62097989064e-15,2.05486065593e-17
P3,5.62971625278e-16,1.42058480267e-15,1.87578745823e-16,4.2097407972e-17,1.51284796892e-18,2.53808799414e-16,8.00180581469e-16,1.31688847177e-16,5.6748795819e-17,6.54265924814e-18
P4,6.83657776402e-14,1.55602724544e-13,8.42818731076e-15,1.85364897722e-16,3.40259395506e-18,6.82142782567e-14,9.79808121012e-14,7.19537616433e-15,3.61405902213e-16,1.12688642805e-17
P5,6.9560795569e-14,6.88610960072e-15,1.1307029518e-15,5.13134100516e-17,6.24615107493e-19,4.41598426144e-14,3.06524187864e-15,7.67331733802e-16,8.26020530804e-17,2.28811647928e-18
P6,7.42420491047e-14,1.21379341474e-13,3.01553870557e-15,4.15108837338e-16,6.43213419545e-18,7.02379889453e-14,8.49834715721e-14,2.51350992761e-15,5.30337680671e-16,2.48436211802e-17
P7,2.47433071236e-14,4.65849238029e-14,3.04147734212e-15,1.03437337147e-16,7.9212279314e-19,1.65950978051e-14,3.03064643261e-14,1.86888306045e-15,1.61581223792e-16,2.42376564551e-18
P8,1.5343410779e-13,7.91082046708e-14,2.30763135786e-15,2.47343557572e-16,1.63592559698e-17,7.32909463835e-14,4.34320450063e-14,1.22883198407e-15,2.41697603544e-16,6.5299505271e-17
P9,4.0032649562e-14,1.7020268844e-14,7.54630345693e-16,1.64836521277e-16,2.23048886454e-18,2.43780316164e-14,1.12678675767e-14,5.78735588965e-16,1.25309811619e-16,9.48497403847e-18
S0,4.71573771913e-14,2.612130269e-14,1.07386995454e-15,2.41470776294e-16,2.45710021171e-17,2.45074250262e-14,1.40277564566e-14,9.95536039467e-16,2.88484621391e-16,7.96214241228e-17
S1,1.14478469588e-13,1.19457101163e-13,5.53528991066e-15,2.07983179283e-15,3.0733246106e-17,7.63935099932e-14,7.15049017353e-14,4.64483580942e-15,2.27469727382e-15,1.07127210385e-16
S2,3.84416240315e-14,6.14910336061e-14,1.55345549803e-14,4.61924837551e-16,8.54353042879e-18,4.40822006399e-14,3.1545775018e-14,1.43442670047e-14,7.09464911496e-16,3.04193967656e-17
S3,3.73847514877e-14,6.09386274032e-15,7.09663937577e-16,2.25573715688e-16,2.29666366075e-17,2.37345995993e-14,4.31614795994e-15,6.39318530777e-16,2.58382718832e-16,6.63276953145e-17
S4,2.24412910376e-13,2.92370449903e-13,1.11823019034e-14,1.35044992506e-15,1.35302902805e-17,2.4717592235e-13,2.08717331625e-13,1.03419068508e-14,1.78222466087e-15,4.66085737613e-17
S5,1.4572281788e-14,2.30749582657e-13,2.25496921402e-14,3.03412900063e-15,3.27716311105e-16,1.09752094347e-14,1.52047015648e-13,1.4115281538e-14,3.24125307065e-15,1.45273281597e-15
S6,2.3159238931e-14,1.7055087638e-14,1.99576579066e-15,1.88448338424e-16,7.22750287116e-18,1.29023997206e-14,1.20563413596e-14,6.6768735116e-16,2.74491398488e-16,2.05385423919e-17
S7,1.39299454516e-13,8.23909499563e-14,1.04682704627e-14,5.81268607904e-16,2.11859785813e-17,6.14791807545e-14,6.18940493979e-14,7.42090825147e-15,6.00001186201e-16,7.12988249814e-17
S8,1.03512077294e-14,3.23100624453e-15,6.62819093835e-16,9.15077955774e-17,5.74669515682e-18,8.89433303243e-15,2.04419996897e-15,3.44828782057e-16,1.06274349487e-16,1.77878481613e-17
S9,8.25525577438e-14,1.5544570626e-13,1.06095383894e-14,2.20158747012e-16,1.13763908633e-17,5.70914194015e-14,8.76386761954e-14,6.58651418805e-15,2.58482891396e-16,3.68530379572e-17
